player_id,team_id,assists,attempts_on_target,attempts_at_goal,attempts_at_goal_conv_rate,attempts_inside_penalty,attempts_outside_penalty,headed_attempts_at_goal,xg,xg_efficiency,corners
234,38,0,1,1,0,1,0,0,0.15,0x,0
683,42,0,0,0,0,0,0,0,0,0x,0
830,43,0,1,2,0,2,0,1,0.34,0x,5
1161,15,0,0,0,0,0,0,0,0,0x,0
1179,41,0,0,0,0,0,0,0,0,0x,0
362,6,0,4,4,0,1,3,0,0.08,0x,0
586,3,0,2,5,0,3,2,0,0.42,0x,0
910,43,0,0,3,0,3,0,2,0.3,0x,0
276,15,0,0,0,0,0,0,0,0,0x,0
577,38,0,0,0,0,0,0,0,0,0x,0
243,43,0,0,0,0,0,0,0,0,0x,0
709,38,0,0,0,0,0,0,0,0,0x,0
416,41,0,0,1,0,1,0,0,0.01,0x,0
398,31,0,0,0,0,0,0,0,0,0x,2
328,6,0,0,3,0,3,0,0,0.2,0x,0
1121,15,0,0,0,0,0,0,0,0,0x,0
677,31,0,0,0,0,0,0,0,0,0x,0
386,45,0,0,1,0,0,1,0,0.04,0x,0
686,31,0,0,0,0,0,0,0,0,0x,0
518,3,0,1,3,0,3,0,1,0.21,0x,0
708,38,0,1,2,0,0,2,0,0.09,0x,8
687,15,0,1,5,20,5,0,5,0.54,1.85x,0
35,3,0,0,2,0,1,1,0,0.07,0x,4
316,48,0,0,2,0,1,1,1,0.08,0x,2
711,31,0,1,1,0,1,0,0,0.02,0x,2
365,6,0,2,3,0,1,2,0,0.11,0x,1
1229,45,0,0,0,0,0,0,0,0,0x,0
185,41,0,0,0,0,0,0,0,0,0x,0
821,45,0,0,3,0,3,0,3,0.22,0x,0
554,31,0,0,1,0,0,1,0,0.01,0x,3
1058,38,0,0,2,0,1,1,0,0.15,0x,0
57,31,0,0,0,0,0,0,0,0,0x,0
355,43,0,0,0,0,0,0,0,0,0x,0
211,3,0,0,0,0,0,0,0,0,0x,0
268,42,0,0,1,0,0,1,0,0.01,0x,1
359,42,0,0,0,0,0,0,0,0,0x,0
968,45,0,0,0,0,0,0,0,0,0x,0
1174,38,0,0,0,0,0,0,0,0,0x,0
151,3,0,0,1,0,0,1,0,0.03,0x,0
8,48,0,0,0,0,0,0,0,0,0x,0
960,48,0,0,0,0,0,0,0,0,0x,0
13,45,0,0,3,0,1,2,0,0.07,0x,0
264,43,0,8,16,13,15,1,1,0.86,2.31x,0
930,3,0,0,0,0,0,0,0,0,0x,0
175,48,0,0,2,0,0,2,0,0.03,0x,0
14,48,0,0,0,0,0,0,0,0,0x,0
915,41,0,0,1,0,1,0,0,0.03,0x,1
829,15,0,3,7,14,5,2,1,0.7,1.42x,5
209,31,0,3,4,0,3,1,1,0.21,0x,0
1089,38,0,0,0,0,0,0,0,0,0x,0
97,6,0,1,2,0,0,2,0,0.06,0x,0
652,45,0,1,3,0,2,1,0,0.59,0x,0
1023,43,0,1,2,0,1,1,0,0.07,0x,0
380,48,0,0,0,0,0,0,0,0,0x,0
322,6,0,0,1,0,0,1,0,0.02,0x,0
720,43,0,0,0,0,0,0,0,0,0x,0
725,3,0,0,0,0,0,0,0,0,0x,0
177,31,0,0,0,0,0,0,0,0,0x,0
562,41,0,0,0,0,0,0,0,0,0x,0
990,41,0,3,7,29,4,3,1,1.1,1.82x,0
905,3,0,3,6,17,4,2,1,0.81,1.23x,0
1103,48,0,1,1,0,1,0,0,0.08,0x,0
1129,42,0,0,0,0,0,0,0,0,0x,0
934,43,0,0,1,0,1,0,0,0.18,0x,0
839,3,0,0,0,0,0,0,0,0,0x,0
537,3,0,0,0,0,0,0,0,0,0x,0
275,15,0,0,4,0,1,3,0,0.05,0x,0
1035,15,0,0,0,0,0,0,0,0,0x,0
22,15,0,1,3,0,2,1,0,0.31,0x,0
854,3,0,1,4,0,4,0,1,0.26,0x,0
522,42,0,0,0,0,0,0,0,0,0x,0
514,6,0,1,1,0,0,1,0,0.09,0x,0
717,31,0,0,0,0,0,0,0,0,0x,0
390,38,0,0,0,0,0,0,0,0,0x,0
17,48,0,0,0,0,0,0,0,0,0x,0
742,38,0,0,1,0,1,0,1,0.15,0x,0
56,31,0,0,0,0,0,0,0,0,0x,0
871,15,0,0,0,0,0,0,0,0,0x,0
1177,45,0,0,0,0,0,0,0,0,0x,0
183,42,0,1,1,0,0,1,0,0.01,0x,0
793,3,0,0,0,0,0,0,0,0,0x,0
254,3,0,1,4,0,2,2,0,0.28,0x,7
1086,31,0,2,4,0,2,2,0,0.22,0x,0
1231,43,0,0,0,0,0,0,0,0,0x,0
927,6,0,0,0,0,0,0,0,0,0x,0
178,31,0,0,0,0,0,0,0,0,0x,0
1235,43,0,0,1,0,0,1,0,0,0x,0
738,15,0,0,0,0,0,0,0,0,0x,0
759,41,0,0,0,0,0,0,0,0,0x,0
632,45,0,1,1,100,1,0,0,0.68,1.48x,0
1061,31,0,0,0,0,0,0,0,0,0x,0
92,45,0,0,0,0,0,0,0,0,0x,0
164,3,0,1,1,0,1,0,0,0.02,0x,0
650,38,0,0,1,0,0,1,0,0.01,0x,0
806,31,0,0,0,0,0,0,0,0,0x,0
280,41,0,0,0,0,0,0,0,0,0x,0
820,45,0,0,0,0,0,0,0,0,0x,0
1190,15,0,0,1,0,1,0,0,0.01,0x,0
460,6,0,0,0,0,0,0,0,0,0x,0
281,15,0,0,0,0,0,0,0,0,0x,0
55,41,0,0,0,0,0,0,0,0,0x,0
944,48,0,0,1,0,1,0,0,0.16,0x,0
50,3,0,0,3,0,2,1,2,0.13,0x,0
1213,42,0,3,7,29,1,6,0,0.44,4.59x,9
553,42,0,0,1,0,1,0,0,0.05,0x,0
439,43,0,0,0,0,0,0,0,0,0x,0
1051,38,0,0,0,0,0,0,0,0,0x,0
897,38,0,0,0,0,0,0,0,0,0x,0
1180,48,0,0,0,0,0,0,0,0,0x,0
946,45,0,0,0,0,0,0,0,0,0x,0
824,31,0,0,0,0,0,0,0,0,0x,0
180,42,0,0,1,0,0,1,0,0.03,0x,3
454,45,0,2,11,0,2,9,0,0.4,0x,8
408,42,0,0,0,0,0,0,0,0,0x,1
646,42,0,0,1,0,1,0,0,0.06,0x,0
828,31,0,0,0,0,0,0,0,0,0x,0
737,15,0,2,3,0,1,2,0,0.06,0x,0
819,45,0,2,6,0,3,3,2,0.24,0x,0
753,43,0,1,1,0,1,0,0,0.18,0x,0
249,3,0,2,5,20,1,4,0,0.11,9.21x,3
337,48,0,2,4,25,4,0,0,0.17,5.79x,0
210,3,0,0,0,0,0,0,0,0,0x,0
437,43,0,2,9,11,1,8,0,1.16,0.86x,0
923,6,0,0,0,0,0,0,0,0,0x,0
479,15,0,0,0,0,0,0,0,0,0x,0
987,41,0,1,4,0,1,3,0,0.37,0x,8
507,45,0,0,5,0,3,2,1,0.32,0x,0
520,3,0,0,1,0,0,1,0,0.03,0x,0
893,31,0,0,0,0,0,0,0,0,0x,0
208,31,0,0,0,0,0,0,0,0,0x,0
1183,41,0,0,0,0,0,0,0,0,0x,0
787,15,0,0,0,0,0,0,0,0,0x,0
