player_id,team_id,own_goals,forced_turnovers,defensive_pressures_applied,defensive_pressures_directly_applied
150,48,0,0,0,0
1,38,0,1,16,5
328,6,0,4,69,1
1090,38,0,11,103,6
514,6,0,20,78,21
897,38,0,7,37,9
1091,6,0,10,49,17
322,6,0,0,6,0
234,38,0,6,73,4
295,6,0,1,4,2
102,6,0,0,4,0
517,38,0,2,15,4
362,6,0,19,131,15
742,38,0,3,22,3
365,6,0,16,85,8
923,6,0,0,0,0
1058,38,0,3,52,8
512,6,0,5,39,8
97,6,0,14,95,11
117,38,0,0,0,0
934,43,0,1,11,3
376,47,0,0,0,0
332,28,0,3,37,13
384,16,0,0,1,1
1047,47,0,0,0,0
267,10,0,11,64,20
253,2,0,9,42,19
597,34,0,2,17,4
58,7,0,0,4,2
239,46,0,0,0,0
1196,7,0,0,0,0
618,10,0,3,45,0
103,33,0,11,68,15
546,10,0,13,77,8
892,2,0,27,100,22
714,2,0,8,26,10
415,34,0,0,0,0
349,47,0,0,0,0
659,16,0,2,26,6
616,2,0,0,0,0
324,7,0,0,0,0
550,16,0,0,0,0
225,33,0,7,41,12
1158,46,0,5,34,4
449,34,0,3,24,3
1201,16,0,10,51,12
409,7,0,8,23,8
252,46,0,0,0,0
218,33,0,28,53,19
1041,47,0,9,82,15
1155,46,0,3,16,6
755,47,0,3,40,17
453,46,0,0,0,0
870,16,0,0,0,0
200,28,0,16,69,9
136,28,0,0,7,0
220,7,0,20,103,26
94,10,0,0,0,0
442,28,0,0,0,0
942,28,0,3,20,2
410,7,0,6,60,9
88,7,0,0,0,0
1215,22,0,0,0,0
1015,7,0,15,112,10
443,47,0,8,20,5
801,46,0,0,0,0
163,33,0,1,24,3
470,16,0,0,0,0
317,7,0,21,111,42
558,10,0,11,29,12
204,7,0,37,159,15
1098,46,0,14,97,9
1042,2,0,8,134,16
287,10,0,4,21,2
1043,47,0,0,0,0
529,10,0,5,41,5
1083,47,0,0,0,0
371,34,0,0,0,0
20,33,0,0,0,0
1222,10,0,0,1,1
557,10,0,2,23,2
397,46,0,29,106,7
1149,2,0,26,70,11
191,34,0,1,4,1
1008,34,0,0,12,1
929,16,0,7,83,18
429,2,0,6,37,9
951,34,0,6,9,3
1084,28,0,3,27,3
509,28,0,3,11,2
112,10,0,0,1,1
918,2,0,2,13,8
731,28,0,14,71,12
360,28,0,17,81,26
447,34,0,9,31,10
197,46,0,6,37,9
387,47,0,0,0,0
590,16,0,1,12,1
732,10,0,13,106,15
44,16,0,9,40,14
794,47,0,20,42,18
282,10,0,20,32,18
1014,28,0,0,0,0
389,33,0,2,16,5
575,28,0,7,14,6
797,34,0,42,197,61
916,47,0,7,36,6
614,34,0,17,154,41
501,34,0,2,26,3
592,33,0,6,28,10
446,34,0,2,36,8
1013,28,0,27,87,10
278,10,0,0,0,0
149,46,0,5,31,6
749,46,0,15,115,25
272,47,0,6,95,2
1162,33,0,3,26,3
414,34,0,0,0,0
648,16,0,2,7,3
434,2,0,3,13,6
226,28,0,0,4,1
240,46,0,4,22,11
227,28,0,9,14,4
555,28,0,7,69,19
374,7,0,1,24,5
68,34,0,2,30,6
589,16,0,1,12,7
730,33,0,0,0,0
494,7,0,5,25,5
217,28,0,0,0,0
598,33,0,7,21,12
788,28,0,5,18,3
314,22,0,2,26,6
128,46,0,14,66,18
615,47,0,9,51,12
47,33,0,0,1,0
229,33,0,0,0,0
59,46,0,1,16,2
805,46,0,0,0,0
48,34,0,3,13,5
790,7,0,9,133,16
382,47,0,12,63,6
728,28,0,1,4,3
222,33,0,7,19,2
998,16,0,11,80,29
691,2,0,26,181,19
627,34,0,31,140,16
351,7,0,3,53,5
69,2,0,20,181,32
54,46,0,17,64,20
381,47,0,19,76,8
269,7,0,3,50,8
228,33,0,0,0,0
327,33,0,0,0,0
571,16,0,7,18,5
251,33,0,11,105,17
257,10,0,0,24,3
93,28,0,6,35,4
1172,46,0,30,65,21
426,47,0,0,0,0
869,16,0,16,83,28
1044,7,0,0,10,1
375,2,0,12,58,14
958,33,0,0,0,0
325,7,0,1,20,2
729,10,0,29,103,11
348,2,0,0,0,0
617,10,0,0,0,0
428,46,0,8,46,6
419,2,0,0,0,0
502,33,0,3,20,1
352,16,0,8,91,11
110,33,0,10,38,19
913,2,0,7,44,6
1186,7,0,24,172,10
600,33,0,20,88,12
798,47,0,4,8,0
1029,10,0,4,55,24
1082,10,0,5,12,1
1085,47,0,0,0,0
593,28,0,16,87,21
838,46,0,6,11,5
992,16,0,2,25,3
1208,16,0,1,10,3
765,2,0,0,3,2
906,7,0,0,39,7
436,16,0,0,0,0
641,22,0,0,0,0
602,47,0,0,0,0
954,28,0,3,33,1
196,7,0,0,0,0
244,46,0,8,73,9
448,10,0,22,147,30
435,16,0,14,135,11
45,16,0,1,28,1
115,16,0,4,29,3
567,47,0,0,0,0
111,34,0,43,231,57
560,33,0,3,29,18
911,2,0,8,48,6
369,2,0,1,5,1
1092,46,0,9,63,17
201,47,0,2,15,1
832,34,0,17,123,21
125,16,0,0,0,0
212,10,0,0,0,0
1099,47,0,0,0,0
326,33,0,9,74,6
922,2,0,9,62,11
71,28,0,1,3,0
303,34,0,23,147,37
1040,47,0,0,0,0
622,2,0,33,215,31
654,10,0,1,9,0
804,34,0,10,75,4
705,7,0,0,0,0
25,47,0,16,107,16
1199,10,0,0,0,0
1034,28,0,6,75,13
1195,46,0,22,102,21
610,22,0,9,81,13
777,7,0,11,45,12
441,28,0,3,41,4
772,46,0,2,9,1
625,34,0,20,209,17
570,46,0,4,19,4
712,2,0,24,147,20
579,16,0,44,73,20
957,34,0,1,0,0
52,34,0,1,32,4
526,10,0,7,146,8
623,28,0,13,162,12
800,46,0,0,0,0
733,7,0,2,10,3
118,33,0,0,2,1
1012,7,0,10,59,7
695,2,0,15,42,14
353,2,0,43,149,24
727,7,0,9,104,17
270,7,0,1,22,4
808,47,0,10,79,11
357,33,0,1,1,1
427,2,0,8,23,6
407,34,0,5,46,5
601,2,0,2,9,3
991,16,0,34,119,29
774,4,0,5,35,1
519,16,0,2,2,0
289,16,0,0,0,0
1038,33,0,0,0,0
1027,46,0,18,84,15
591,10,0,0,0,0
424,28,0,15,96,9
1093,47,0,8,31,13
1181,2,0,0,7,2
131,34,0,4,38,2
599,33,0,18,99,19
556,10,0,33,107,27
574,10,0,11,45,3
367,12,0,2,9,2
972,12,0,0,0,0
498,40,0,7,83,2
950,40,0,0,0,0
583,9,0,1,3,1
235,29,0,6,59,7
489,12,0,23,114,29
1022,40,0,18,107,13
341,21,0,5,55,10
127,21,0,26,123,20
1169,17,0,6,46,4
953,44,0,5,17,5
9,21,0,11,50,5
566,8,0,5,25,4
1207,12,0,0,0,0
