player_id,team_id,goals,assists,minutes_played
37,23,0,0,24
887,23,0,0,24
90,36,0,0,24
1211,27,0,0,25
460,6,0,0,25
934,43,0,0,25
1075,1,0,0,25
1194,19,0,0,25
1077,35,0,0,26
1096,5,0,0,26
104,24,0,0,26
322,6,0,0,27
367,12,0,0,27
874,44,0,0,27
654,10,0,0,28
23,1,0,0,28
191,34,0,0,28
1115,32,0,0,29
660,23,0,0,29
815,24,0,0,29
762,4,0,0,30
151,3,0,0,31
728,28,0,0,31
846,1,0,0,31
318,22,0,0,31
398,31,0,0,32
400,35,0,0,32
631,30,0,0,32
1225,23,0,0,32
811,20,0,0,33
1140,3,0,0,33
160,29,0,0,33
1073,6,0,0,35
450,30,0,0,36
171,39,0,0,36
519,16,0,0,36
568,5,0,0,36
528,20,0,0,37
543,19,0,0,38
325,7,0,0,38
1239,1,0,0,38
84,23,0,0,38
733,7,0,0,38
32,23,0,0,38
355,43,0,0,39
979,4,0,0,39
590,16,0,0,40
963,12,0,0,40
27,36,0,0,41
73,36,0,0,41
63,4,0,0,41
237,27,0,0,41
1019,23,0,0,41
77,24,0,0,42
153,5,0,0,42
596,30,0,0,43
1160,15,0,0,43
1067,26,0,0,43
43,37,0,0,43
973,27,0,0,44
909,20,0,0,44
420,14,0,0,45
233,11,0,0,45
954,28,0,0,45
1129,42,0,0,46
493,48,0,0,46
1147,11,0,0,47
750,19,0,0,48
1044,7,0,0,49
321,44,0,0,49
1111,11,0,0,49
742,38,0,0,49
798,47,0,0,49
589,16,0,0,49
875,32,0,0,50
1117,14,0,0,50
404,32,0,0,50
748,20,0,0,50
813,24,0,0,50
292,45,0,0,50
545,14,0,0,50
221,27,0,0,51
11,36,0,0,51
141,24,0,0,51
1099,47,0,0,51
116,20,0,0,52
502,33,0,0,52
848,44,0,0,52
1162,33,0,0,53
354,27,0,0,53
1208,16,0,0,53
501,34,0,0,55
213,45,0,0,55
26,36,0,0,55
380,48,0,0,55
796,5,0,0,57
628,25,0,0,58
1205,30,0,0,58
1190,15,0,0,58
87,24,0,0,58
338,44,0,0,58
263,18,0,0,59
290,15,0,0,59
45,16,0,0,59
741,40,0,0,59
673,21,0,0,61
795,9,0,0,61
201,47,0,0,61
224,43,0,0,62
999,21,0,0,62
775,23,0,0,62
667,27,0,0,64
52,34,0,0,64
494,7,0,0,65
392,44,0,0,66
1193,20,0,0,66
792,3,0,0,67
314,22,0,0,68
1001,30,0,0,68
183,42,0,0,69
68,34,0,0,69
595,11,0,0,69
1139,8,0,0,69
1128,37,0,0,71
468,32,0,0,71
736,13,0,0,71
270,7,0,0,73
475,17,0,0,73
669,27,0,0,74
159,29,0,0,74
855,26,0,0,75
680,32,0,0,75
537,3,0,0,75
960,48,0,0,75
1053,35,0,0,76
163,33,0,0,76
304,5,0,0,76
78,26,0,0,78
307,35,0,0,78
1,38,0,0,79
554,31,0,0,79
634,3,0,0,81
913,2,0,0,81
109,13,0,0,81
197,46,0,0,82
456,17,0,0,83
1221,41,0,0,83
1242,17,0,0,84
549,14,0,0,85
416,41,0,0,85
222,33,0,0,85
942,28,0,0,85
134,43,0,0,87
441,28,0,0,87
930,3,0,0,88
15,37,0,0,88
884,23,0,0,89
720,43,0,0,89
1082,10,0,0,89
1158,46,0,0,90
412,8,0,0,90
592,33,0,0,90
39,3,0,0,90
944,48,0,0,90
852,36,0,0,91
85,21,0,0,92
425,8,0,0,93
174,12,0,0,94
971,39,0,0,94
131,34,0,0,95
374,7,0,0,95
138,6,0,0,95
946,45,0,0,97
161,25,0,0,97
915,41,0,0,98
1094,44,0,0,98
389,33,0,0,98
287,10,0,0,99
1192,8,0,0,99
1121,15,0,0,99
1171,25,0,0,99
275,15,0,0,100
369,2,0,0,100
765,2,0,0,100
333,32,0,0,100
965,12,0,0,100
246,12,0,0,100
1031,14,0,0,100
1159,35,0,0,100
880,44,0,0,100
570,46,0,0,100
992,16,0,0,100
966,1,0,0,100
932,40,0,0,101
1235,43,0,0,101
394,4,0,0,102
1089,38,0,0,102
1229,45,0,0,103
1095,12,0,0,103
1061,31,0,0,103
335,24,0,0,104
860,24,0,0,104
902,37,0,0,104
968,45,0,0,104
772,46,0,0,104
838,46,0,0,104
801,46,0,0,104
402,23,0,0,105
1180,48,0,0,105
1230,36,0,0,105
1069,24,0,0,107
219,4,0,0,108
1100,24,0,0,108
557,10,0,0,108
523,48,0,0,112
177,31,0,0,112
639,36,0,0,114
1058,38,0,0,114
268,42,0,0,114
119,1,0,0,114
763,13,0,0,114
840,43,0,0,115
666,38,0,0,115
916,47,0,0,115
446,34,0,0,117
594,32,0,0,117
1084,28,0,0,117
1017,19,0,0,119
1173,31,0,0,120
702,27,0,0,120
1071,45,0,0,120
316,48,0,0,120
566,8,0,0,121
1076,29,0,0,121
535,18,0,0,121
706,20,0,0,122
482,27,0,0,123
279,20,0,0,123
339,44,0,0,124
534,1,0,0,125
700,27,0,0,125
492,13,0,0,125
521,9,0,0,126
1007,1,0,0,126
1232,23,0,0,126
96,5,0,0,127
346,12,0,0,127
718,22,0,0,129
539,40,0,0,130
821,45,0,0,132
182,35,0,0,133
356,45,0,0,134
474,36,0,0,134
703,22,0,0,134
33,23,0,0,135
637,21,0,0,136
115,16,0,0,137
739,15,0,0,137
497,21,0,0,140
144,36,0,0,140
166,48,0,0,140
503,44,0,0,142
536,15,0,0,142
471,1,0,0,143
1012,7,0,0,143
652,45,0,0,143
650,38,0,0,144
79,23,0,0,144
1141,30,0,0,145
351,7,0,0,146
553,42,0,0,147
924,9,0,0,147
612,8,0,0,148
29,23,0,0,149
180,42,0,0,149
429,2,0,0,150
210,3,0,0,152
1163,15,0,0,152
746,26,0,0,152
507,45,0,0,153
862,37,0,0,153
477,24,0,0,154
524,23,0,0,154
692,21,0,0,155
663,48,0,0,155
1202,8,0,0,156
770,13,0,0,158
234,38,0,0,160
996,4,0,0,160
504,9,0,0,160
1011,44,0,0,162
9,21,0,0,163
30,36,0,0,163
899,11,0,0,163
399,35,0,0,163
943,26,0,0,163
904,35,0,0,164
323,18,0,0,164
1233,23,0,0,165
341,21,0,0,166
538,36,0,0,166
1127,36,0,0,167
886,37,0,0,167
403,22,0,0,168
1161,15,0,0,169
407,34,0,0,170
158,36,0,0,170
216,22,0,0,171
22,15,0,0,172
737,15,0,0,172
331,39,0,0,172
1236,45,0,0,173
807,19,0,0,173
209,31,0,0,173
481,23,0,0,174
1113,29,0,0,175
1029,10,0,0,175
599,33,0,0,176
710,9,0,0,176
830,43,0,0,176
330,11,0,0,177
609,13,0,0,177
80,37,0,0,177
386,45,0,0,179
254,3,0,0,180
630,14,0,0,180
940,8,0,0,180
636,39,0,0,181
1228,25,0,0,181
498,40,0,0,182
272,47,0,0,182
854,3,0,0,182
520,3,0,0,183
343,42,0,0,183
693,38,0,0,183
1114,27,0,0,183
1022,40,0,0,184
560,33,0,0,186
225,33,0,0,187
690,8,0,0,187
895,30,0,0,189
480,26,0,0,190
605,14,0,0,193
310,5,0,0,194
328,6,0,0,196
315,30,0,0,197
755,47,0,0,197
155,44,0,0,198
597,34,0,0,198
260,8,0,0,198
980,15,0,0,199
522,42,0,0,200
683,42,0,0,200
