player_id,team_id,player_name,position,goalkeeper_saves,goalkeeper_action_inside_penalty_area,goalkeeper_action_outside_penalty_area
771,30,Mark Flekken,GK,0,0,0
250,38,Craig Gordon,GK,0,0,0
948,20,Oliver Baumann,GK,0,0,0
395,4,Florian Wiegele,GK,0,0,0
202,19,Brice Samba,GK,0,0,0
978,4,Patrick Pentz,GK,0,0,0
834,5,Mike Penders,GK,0,0,0
1036,19,Robin Risser,GK,0,0,0
527,18,James Trafford,GK,0,0,0
1037,30,Robin Roefs,GK,0,0,0
285,18,Dean Henderson,GK,0,0,0
62,20,Alexander Nuebel,GK,0,0,0
1081,32,Sander Tangvik,GK,0,0,0
841,6,Mladen Jurkas,GK,0,0,0
783,6,Martin Zlomislic,GK,0,0,0
1176,14,Tyrick Bodak,GK,0,0,0
1168,14,Trevor Doornbusch,GK,0,0,0
239,46,Chris Brady,GK,0,0,0
870,16,Moises Ramirez,GK,0,0,0
1085,47,Santiago Mele,GK,0,0,0
1196,7,Weverton,GK,0,0,0
415,34,Gatito Fernandez,GK,0,0,0
442,28,Guillermo Ochoa,GK,0,3,3
1099,47,Sergio Rochet,GK,0,7,5
324,7,Ederson,GK,0,0,0
616,2,Juan Musso,GK,0,0,0
730,33,Luis Mejia,GK,0,0,0
94,10,Alvaro Montero,GK,0,0,0
436,16,Gonzalo Valle,GK,0,0,0
419,2,Geronimo Rulli,GK,0,0,0
801,46,Matt Turner,GK,0,21,17
414,34,Gaston Olveira,GK,0,0,0
228,33,Cesar Samudio,GK,0,0,0
278,10,David Ospina,GK,0,0,0
217,28,Carlos Acevedo,GK,0,0,0
1231,43,Yvon Mvogo,GK,0,0,0
559,15,Jindrich Stanek,GK,0,0,0
982,3,Paul Izzo,GK,0,0,0
738,15,Lukas Hornicek,GK,0,0,0
828,31,Michael Woud,GK,0,0,0
1185,42,Viktor Johansson,GK,0,0,0
186,48,Botirali Ergashev,GK,0,0,0
785,43,Marvin Keller,GK,0,0,0
562,41,Joan Garcia,GK,0,0,0
793,3,Mathew Ryan,GK,0,0,0
280,41,David Raya,GK,0,0,0
56,31,Alex Paulsen,GK,0,0,0
92,45,Altay Bayindir,GK,0,0,0
820,45,Mert Gunok,GK,0,0,0
709,38,Liam Kelly,GK,0,0,0
823,36,Meshaal Barsham,GK,0,0,0
5,26,Abdallah Alfakhori,GK,0,0,0
1157,11,Timothy Fayulu,GK,0,0,0
1164,25,Tomoki Hayakawa,GK,0,0,0
1116,27,Song Bumkeun,GK,0,0,0
986,24,Payam Niazmand,GK,0,0,0
476,24,Hossein Hosseini,GK,0,0,0
561,27,Jo Hyeonwoo,GK,0,0,0
643,25,Keisuke Osako,GK,0,0,0
816,1,Melvin Mastil,GK,0,0,0
761,8,Marcio Rosa,GK,0,0,0
28,37,Ahmed Alkassar,GK,0,0,0
377,23,Fahad Talib,GK,0,0,0
802,11,Matthieu Epolo,GK,0,0,0
247,8,Cj Dos Santos,GK,0,0,0
938,26,Nour Baniateyah,GK,0,0,0
966,1,Oussama Benbot,GK,0,14,13
901,37,Nawaf Alaqidi,GK,0,0,0
1066,36,Salah Zakaria,GK,0,0,0
