player_id,team_id,player_name,position,own_goals,forced_turnovers,defensive_pressures_applied,defensive_pressures_directly_applied
1014,28,Raul Rangel,GK,0,0,0,0
389,33,Fidel Escobar,DF,0,2,16,5
575,28,Johan Vasquez,DF,0,7,14,6
797,34,Matias Galarza,MF,0,42,197,61
916,47,Nicolas De La Cruz,MF,0,7,36,6
614,34,Juan Jose Caceres,DF,0,17,154,41
501,34,Isidro Pitta,FW,0,2,26,3
592,33,Jorge Gutierrez,DF,0,6,28,10
446,34,Gustavo Caballero,MF,0,2,36,8
1013,28,Raul Jimenez,FW,0,27,87,10
278,10,David Ospina,GK,0,0,0,0
149,46,Auston Trusty,DF,0,5,31,6
749,46,Malik Tillman,MF,0,15,115,25
272,47,Darwin Nunez,FW,0,6,95,2
1162,33,Tomas Rodriguez,FW,0,3,26,3
414,34,Gaston Olveira,GK,0,0,0,0
648,16,Kendry Paez,MF,0,2,7,3
434,2,Gonzalo Montiel,DF,0,3,13,6
226,28,Cesar Huerta,FW,0,0,4,1
240,46,Chris Richards,DF,0,4,22,11
227,28,Cesar Montes,DF,0,9,14,4
555,28,Jesus Gallardo,DF,0,7,69,19
374,7,Fabinho,MF,0,1,24,5
68,34,Alexandro Maidana,DF,0,2,30,6
589,16,Jordy Alcivar,MF,0,1,12,7
730,33,Luis Mejia,GK,0,0,0,0
494,7,Igor Thiago,FW,0,5,25,5
217,28,Carlos Acevedo,GK,0,0,0,0
598,33,Jose Cordoba,DF,0,7,21,12
788,28,Mateo Chavez,DF,0,5,18,3
314,22,Dominique Simon,MF,0,2,26,6
128,46,Antonee Robinson,DF,0,14,66,18
615,47,Juan Manuel Sanabria,MF,0,9,51,12
47,33,Alberto Quintero,MF,0,0,1,0
229,33,Cesar Yanis,MF,0,0,0,0
59,46,Alex Zendejas,FW,0,1,16,2
805,46,Max Arfsten,DF,0,0,0,0
48,34,Alejandro Romero Gamarra,FW,0,3,13,5
790,7,Matheus Cunha,FW,0,9,133,16
