player_id,team_id,player_name,position,assists,attempts_on_target,attempts_at_goal,attempts_at_goal_conv_rate,attempts_inside_penalty,attempts_outside_penalty,headed_attempts_at_goal,xg,xg_efficiency,corners
203,35,Bruno Fernandes,MF,1,3,9,0,5,4,0,0.95,0x,8
461,18,Harry Kane,FW,1,11,23,26,18,5,5,3.69,1.63x,0
619,18,Jude Bellingham,MF,1,11,17,35,14,3,4,3.36,1.79x,0
1156,5,Timothy Castagne,DF,1,1,3,0,2,1,1,0.14,0x,0
286,18,Declan Rice,MF,1,2,5,0,3,2,1,0.24,0x,27
789,13,Mateo Kovacic,MF,1,4,5,0,1,4,0,0.46,0x,0
817,30,Memphis Depay,FW,1,0,0,0,0,0,0,0,0x,1
825,4,Michael Gregoritsch,FW,1,0,1,0,1,0,1,0.18,0x,0
607,13,Josip Stanisic,DF,1,0,0,0,0,0,0,0,0x,0
342,18,Elliot Anderson,MF,1,1,7,0,3,4,2,0.38,0x,3
1187,30,Virgil Van Dijk,DF,1,2,2,50,2,0,2,0.14,7.26x,0
513,13,Ivan Perisic,FW,1,2,2,50,2,0,1,0.32,3.15x,2
188,19,Bradley Barcola,FW,1,4,8,25,6,2,1,1.43,1.4x,0
301,19,Desire Doue,FW,1,8,13,8,4,9,1,0.71,1.41x,2
1206,4,Xaver Schlager,MF,1,0,1,0,0,1,0,0.02,0x,0
24,19,Adrien Rabiot,MF,1,1,8,0,3,5,2,0.83,0x,0
900,20,Nathaniel Brown,DF,1,2,3,33,3,0,0,0.21,4.87x,11
383,20,Felix Nmecha,MF,1,3,8,13,3,5,0,0.49,2.04x,0
994,13,Petar Sucic,MF,1,2,3,33,1,2,0,0.14,7.07x,0
277,32,David Moller Wolfe,DF,1,0,0,0,0,0,0,0,0x,0
248,30,Cody Gakpo,FW,1,6,10,30,8,2,2,1.35,2.23x,1
1003,35,Rafael Leao,FW,1,1,4,25,3,1,0,0.33,3.07x,3
1046,5,Romelu Lukaku,FW,1,3,6,50,6,0,2,0.77,3.91x,0
1153,30,Tijjani Reijnders,MF,1,2,4,0,3,1,0,0.48,0x,10
734,13,Luka Modric,MF,1,0,1,0,1,0,1,0.05,0x,7
873,18,Morgan Rogers,MF,1,1,2,0,0,2,0,0.02,0x,0
891,20,Nadiem Amiri,MF,1,1,2,0,1,1,0,0.26,0x,0
232,5,Charles De Ketelaere,FW,1,5,6,50,6,0,3,1.51,1.98x,0
148,19,Aurelien Tchouameni,MF,1,0,3,0,1,2,0,0.11,0x,0
1151,5,Thomas Meunier,DF,1,1,2,0,1,1,0,0.11,0x,0
676,4,Konrad Laimer,MF,1,0,1,0,0,1,0,0.01,0x,0
989,35,Pedro Neto,FW,1,0,1,0,0,1,0,0,0x,0
563,35,Joao Cancelo,DF,1,0,3,0,1,2,0,0.06,0x,1
434,2,Gonzalo Montiel,DF,1,0,1,0,1,0,0,0.15,0x,0
691,2,Lautaro Martinez,FW,1,4,10,30,9,1,2,2.17,1.38x,0
1092,46,Sebastian Berhalter,MF,1,1,3,33,0,3,0,0.1,10.14x,12
593,28,Jorge Sanchez,DF,1,1,1,0,1,0,0,0.04,0x,0
911,2,Nico Gonzalez,MF,1,1,7,0,7,0,4,0.48,0x,0
659,16,Kevin Rodriguez,FW,1,1,6,0,6,0,2,0.68,0x,0
618,10,Juan Quintero,MF,1,0,4,0,0,4,0,0.13,0x,6
1186,7,Vinicius Junior,FW,1,11,17,24,14,3,1,3.24,1.23x,2
797,34,Matias Galarza,MF,1,1,2,50,0,2,0,0.07,13.75x,0
808,47,Maxi Araujo,MF,1,3,4,50,3,1,2,1.09,1.83x,10
623,28,Julian Quinones,FW,1,6,14,29,8,6,2,2.27,1.76x,0
714,2,Lisandro Martinez,DF,1,2,4,25,2,2,0,0.2,5.09x,0
1042,2,Rodrigo De Paul,MF,1,1,2,0,0,2,0,0.06,0x,1
601,2,Jose Manuel Lopez,FW,1,0,1,0,1,0,0,0.04,0x,0
731,28,Luis Romo,MF,1,1,3,33,1,2,0,0.1,10.05x,0
727,7,Lucas Paqueta,MF,1,1,5,0,2,3,1,0.24,0x,1
448,10,Gustavo Puerta,DF,1,5,14,0,3,11,0,0.53,0x,0
1015,7,Rayan,FW,1,2,5,0,3,2,1,0.76,0x,1
409,7,Gabriel Magalhaes,DF,1,0,1,0,1,0,0,0.03,0x,0
729,10,Luis Diaz,FW,1,7,19,5,15,4,0,1.47,0.68x,3
274,4,David Alaba,DF,1,0,2,0,0,2,0,0.02,0x,1
732,10,Luis Suarez,FW,1,0,9,0,7,2,2,0.96,0x,0
244,46,Christian Pulisic,FW,1,2,4,0,2,2,0,0.42,0x,1
257,10,Cucho Hernandez,FW,1,0,1,0,1,0,1,0.04,0x,0
360,28,Erik Lira,MF,1,0,0,0,0,0,0,0,0x,0
54,46,Alex Freeman,DF,1,1,4,25,4,0,3,0.78,1.28x,0
991,16,Pedro Vite,MF,1,1,4,0,1,3,0,0.23,0x,2
69,2,Alexis Mac Allister,MF,1,4,13,8,10,3,9,1.92,0.52x,0
375,2,Facundo Medina,DF,1,0,0,0,0,0,0,0,0x,0
749,46,Malik Tillman,MF,1,4,8,25,5,3,0,0.73,2.75x,10
1013,28,Raul Jimenez,FW,0,7,18,17,13,5,7,3,1x,0
805,46,Max Arfsten,DF,0,0,0,0,0,0,0,0,0x,0
509,28,Israel Reyes,DF,0,0,2,0,2,0,1,0.06,0x,0
218,33,Carlos Harvey,DF,0,0,5,0,4,1,2,0.29,0x,0
112,10,Andres Gomez,FW,0,0,0,0,0,0,0,0,0x,0
705,7,Leo Pereira,DF,0,0,0,0,0,0,0,0,0x,0
220,7,Casemiro,MF,0,2,4,25,2,2,2,0.66,1.51x,0
557,10,Jhon Cordoba,FW,0,1,2,0,2,0,1,0.32,0x,0
88,7,Alisson,GK,0,0,0,0,0,0,0,0,0x,0
617,10,Juan Portilla,MF,0,0,0,0,0,0,0,0,0x,0
384,16,Felix Torres,DF,0,0,0,0,0,0,0,0,0x,0
1029,10,Richard Rios,MF,0,1,5,0,2,3,1,0.37,0x,0
374,7,Fabinho,MF,0,0,1,0,1,0,1,0.02,0x,0
349,47,Emiliano Martinez,MF,0,0,0,0,0,0,0,0,0x,0
