player_id,team_id,player_name,position,goals,assists,minutes_played
34,29,Ahmed Reda Tagnaouti,GK,0,0,0
856,26,Mohammad Abughoush,MF,0,0,0
1081,32,Sander Tangvik,GK,0,0,0
641,22,Keeto Thermoncy,DF,0,0,0
547,37,Jehad Thikri,DF,0,0,0
1217,1,Yassine Titraoui,MF,0,0,0
845,1,Mohamed Amine Tougai,DF,0,0,0
527,18,James Trafford,GK,0,0,0
150,48,Avazbek Ulmasaliyev,DF,0,0,0
125,16,Anthony Valencia,MF,0,0,0
436,16,Gonzalo Valle,GK,0,0,0
178,31,Ben Waine,FW,0,0,0
572,9,Joel Waterman,DF,0,0,0
799,30,Mats Wieffer,DF,0,0,0
395,4,Florian Wiegele,GK,0,0,0
828,31,Michael Woud,GK,0,0,0
229,33,Cesar Yanis,MF,0,0,0
1043,47,Rodrigo Zalazar,MF,0,0,0
783,6,Martin Zlomislic,GK,0,0,0
784,41,Martin Zubimendi,MF,0,0,0
371,34,Fabian Balbuena,DF,0,0,0
168,21,Baba Rahman,DF,0,0,1
185,41,Borja Iglesias,FW,0,0,1
768,19,Marcus Thuram,FW,0,0,2
793,3,Mathew Ryan,GK,0,0,2
805,46,Max Arfsten,DF,0,0,2
1222,10,Yerry Mina,DF,0,0,2
379,1,Fares Ghedjemis,FW,0,0,2
1102,48,Sherzod Esanov,MF,0,0,3
759,41,Marc Pubill,DF,0,0,3
791,35,Matheus Nunes,MF,0,0,4
453,46,Haji Wright,FW,0,0,4
445,42,Gustaf Nilsson,FW,0,0,5
515,18,Ivan Toney,FW,0,0,6
192,14,Brandley Kuwas,FW,0,0,6
1106,14,Shurandy Sambo,DF,0,0,6
484,17,Ibrahim Adel,FW,0,0,7
499,45,Irfan Can Kahveci,FW,0,0,7
1051,38,Ross Stewart,FW,0,0,7
112,10,Andres Gomez,FW,0,0,7
1040,47,Rodrigo Aguirre,FW,0,0,8
661,37,Khalid Alghannam,FW,0,0,8
47,33,Alberto Quintero,MF,0,0,8
743,19,Maghnes Akliouche,MF,0,0,10
215,42,Carl Starfelt,DF,0,0,10
417,11,Gedeon Kalulu,DF,0,0,10
778,30,Marten De Roon,MF,0,0,11
118,33,Anibal Godoy,MF,0,0,11
642,25,Keisuke Goto,FW,0,0,11
949,18,Ollie Watkins,FW,0,0,12
858,26,Mohammad Abuzraiq,FW,0,0,12
430,14,Godfried Roemeratoe,MF,0,0,12
587,18,Jordan Henderson,MF,0,0,12
243,43,Christian Fassnacht,FW,0,0,12
548,32,Jens Petter Hauge,MF,0,0,12
102,6,Amir Hadziahmetovic,MF,0,0,12
871,15,Mojmir Chytil,FW,0,0,12
540,9,Jayden Nelson,FW,0,0,12
226,28,Cesar Huerta,FW,0,0,12
651,25,Kento Shiogai,FW,0,0,12
384,16,Felix Torres,DF,0,0,12
726,36,Lucas Mendes,DF,0,0,13
857,26,Mohammad Abuhasheesh,DF,0,0,13
638,40,Kamogelo Sebelebele,FW,0,0,13
1215,22,Yassin Fortune,FW,0,0,13
299,22,Derrick Etienne,FW,0,0,14
357,33,Eric Davis,DF,0,0,14
58,7,Alex Sandro,DF,0,0,15
206,45,Caglar Soyuncu,DF,0,0,15
859,26,Mohammad Aldaoud,MF,0,0,15
842,17,Mohamed Abdelmoneim,DF,0,0,15
143,39,Assane Diao,FW,0,0,16
170,39,Bamba Dieng,FW,0,0,16
531,48,Jamshid Iskanderov,MF,0,0,16
933,30,Noa Lang,FW,0,0,17
1227,25,Yuito Suzuki,MF,0,0,17
583,9,Jonathan Osorio,MF,0,0,17
208,31,Callan Elliot,DF,0,0,18
48,34,Alejandro Romero Gamarra,FW,0,0,18
